"fecha","mes","anio","servicio","tipo_pago","afluencia"
2022-01-01,"Enero",2022,"Sevicios Temporales","boleto",0
2022-01-01,"Enero",2022,"Sevicios Temporales","prepago",0
2022-01-01,"Enero",2022,"Sevicios Temporales","gratuidad",0
2022-01-02,"Enero",2022,"Sevicios Temporales","boleto",0
2022-01-02,"Enero",2022,"Sevicios Temporales","prepago",0
2022-01-02,"Enero",2022,"Sevicios Temporales","gratuidad",0
2022-01-03,"Enero",2022,"Sevicios Temporales","boleto",0
2022-01-03,"Enero",2022,"Sevicios Temporales","prepago",0
2022-01-03,"Enero",2022,"Sevicios Temporales","gratuidad",0
2022-01-04,"Enero",2022,"Sevicios Temporales","boleto",0
2022-01-04,"Enero",2022,"Sevicios Temporales","prepago",0
2022-01-04,"Enero",2022,"Sevicios Temporales","gratuidad",0
2022-01-05,"Enero",2022,"Sevicios Temporales","boleto",0
2022-01-05,"Enero",2022,"Sevicios Temporales","prepago",0
2022-01-05,"Enero",2022,"Sevicios Temporales","gratuidad",0
2022-01-06,"Enero",2022,"Sevicios Temporales","boleto",1798
2022-01-06,"Enero",2022,"Sevicios Temporales","prepago",0
2022-01-06,"Enero",2022,"Sevicios Temporales","gratuidad",311
2022-01-07,"Enero",2022,"Sevicios Temporales","boleto",2065
2022-01-07,"Enero",2022,"Sevicios Temporales","prepago",0
2022-01-07,"Enero",2022,"Sevicios Temporales","gratuidad",357
2022-01-08,"Enero",2022,"Sevicios Temporales","boleto",1583
2022-01-08,"Enero",2022,"Sevicios Temporales","prepago",0
2022-01-08,"Enero",2022,"Sevicios Temporales","gratuidad",274
2022-01-09,"Enero",2022,"Sevicios Temporales","boleto",1359
2022-01-09,"Enero",2022,"Sevicios Temporales","prepago",0
2022-01-09,"Enero",2022,"Sevicios Temporales","gratuidad",235
2022-01-10,"Enero",2022,"Sevicios Temporales","boleto",2030
2022-01-10,"Enero",2022,"Sevicios Temporales","prepago",0
2022-01-10,"Enero",2022,"Sevicios Temporales","gratuidad",351
2022-01-11,"Enero",2022,"Sevicios Temporales","boleto",2368
2022-01-11,"Enero",2022,"Sevicios Temporales","prepago",0
2022-01-11,"Enero",2022,"Sevicios Temporales","gratuidad",409
2022-01-12,"Enero",2022,"Sevicios Temporales","boleto",1945
2022-01-12,"Enero",2022,"Sevicios Temporales","prepago",0
2022-01-12,"Enero",2022,"Sevicios Temporales","gratuidad",336
2022-01-13,"Enero",2022,"Sevicios Temporales","boleto",2083
2022-01-13,"Enero",2022,"Sevicios Temporales","prepago",0
2022-01-13,"Enero",2022,"Sevicios Temporales","gratuidad",360
2022-01-14,"Enero",2022,"Sevicios Temporales","boleto",2284
2022-01-14,"Enero",2022,"Sevicios Temporales","prepago",0
2022-01-14,"Enero",2022,"Sevicios Temporales","gratuidad",395
2022-01-15,"Enero",2022,"Sevicios Temporales","boleto",1691
2022-01-15,"Enero",2022,"Sevicios Temporales","prepago",0
2022-01-15,"Enero",2022,"Sevicios Temporales","gratuidad",292
2022-01-16,"Enero",2022,"Sevicios Temporales","boleto",596
2022-01-16,"Enero",2022,"Sevicios Temporales","prepago",0
2022-01-16,"Enero",2022,"Sevicios Temporales","gratuidad",103
2022-01-17,"Enero",2022,"Sevicios Temporales","boleto",2979
2022-01-17,"Enero",2022,"Sevicios Temporales","prepago",0
2022-01-17,"Enero",2022,"Sevicios Temporales","gratuidad",515
2022-01-18,"Enero",2022,"Sevicios Temporales","boleto",2623
2022-01-18,"Enero",2022,"Sevicios Temporales","prepago",0
2022-01-18,"Enero",2022,"Sevicios Temporales","gratuidad",453
2022-01-19,"Enero",2022,"Sevicios Temporales","boleto",2537
2022-01-19,"Enero",2022,"Sevicios Temporales","prepago",0
2022-01-19,"Enero",2022,"Sevicios Temporales","gratuidad",439
2022-01-20,"Enero",2022,"Sevicios Temporales","boleto",2057
2022-01-20,"Enero",2022,"Sevicios Temporales","prepago",0
2022-01-20,"Enero",2022,"Sevicios Temporales","gratuidad",356
2022-01-21,"Enero",2022,"Sevicios Temporales","boleto",3119
2022-01-21,"Enero",2022,"Sevicios Temporales","prepago",0
2022-01-21,"Enero",2022,"Sevicios Temporales","gratuidad",539
2022-01-22,"Enero",2022,"Sevicios Temporales","boleto",3166
2022-01-22,"Enero",2022,"Sevicios Temporales","prepago",0
2022-01-22,"Enero",2022,"Sevicios Temporales","gratuidad",547
2022-01-23,"Enero",2022,"Sevicios Temporales","boleto",1105
2022-01-23,"Enero",2022,"Sevicios Temporales","prepago",0
2022-01-23,"Enero",2022,"Sevicios Temporales","gratuidad",191
